Province,Department,Programme,Subprogramme,Sum - 2018/19 Revised baseline,Sum - 2019/20 Revised baseline,Sum - 2020/21 Indicative baseline
MPUMALANGA,"COMMUNITY SAFETY, SECURITY AND LIAISON",Security  Management,,453329,468288,489248
MPUMALANGA,"COMMUNITY SAFETY, SECURITY AND LIAISON",Security  Management,Provincial Security Operation,453329,468288,489248
MPUMALANGA,"COMMUNITY SAFETY, SECURITY AND LIAISON",Transport Regulation,,574660,608100,642120
MPUMALANGA,"COMMUNITY SAFETY, SECURITY AND LIAISON",Transport Regulation,Overload Control ,29145,35080,38276
MPUMALANGA,"COMMUNITY SAFETY, SECURITY AND LIAISON",Transport Regulation,Programme Support,2544,2658,2805
MPUMALANGA,"COMMUNITY SAFETY, SECURITY AND LIAISON",Transport Regulation,Road Safety Education,31019,36332,37956
MPUMALANGA,"COMMUNITY SAFETY, SECURITY AND LIAISON",Transport Regulation,Safety Engineering,6809,7214,7611
MPUMALANGA,"COMMUNITY SAFETY, SECURITY AND LIAISON",Transport Regulation,TRAFFIC LAW ENFORCEMENT,403117,415166,437683
MPUMALANGA,"COMMUNITY SAFETY, SECURITY AND LIAISON",Transport Regulation,Transport Administration and Licensing,102026,111650,117789
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,,,522260,523763,552218.04
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Administration,,125677,133484,145992
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Administration,Cooperate Services,117666,124874,136691
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Administration,Office of the MEC,8011,8610,9301
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,,67568,48309,52571.005
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Disaster Management,7633,8367,9096
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Idp Coordination,2379,2552,2775.005
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Land Use Management,15250,15012,16380
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Local Economic Development,7727,8291,9021
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Municipal Infrastracture,27102,6575,7157
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Office Support,1572,1652,1795
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Spatial Planning,5905,5860,6347
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,,194344,201706,219726.035
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Capacity Development,3531,3631,3941
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Municipal Administration,18984,11297,12260.035
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,"Municipal Performance Monitoring, Reporting  Eva",3877,4022,4377
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Office Support,1889,1940,2106
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Public Participation,166063,180816,197042
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,The House of Traditional Leaders,,19705,17453,20723
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,The House of Traditional Leaders,Adminitration of House of Taditional Leaders,7614,6570,7959
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,The House of Traditional Leaders,Committees and Local Houses of Traditional Leaders,12091,10883,12764
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,,114966,122811,113206
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Office Support,1843,1943,2108
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Rural Development Facilitation,4576,4826,5248
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Institutional Administration,18842,20217,22003
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Land Administration,2804,3003,3268
MPUMALANGA,CO-OPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Resource Adiministration,86901,92822,80579
MPUMALANGA,"CULTURE, SPORT AND RECREATION",,,468461,545170,574977
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Administration,,101351,101227,102209
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Administration,Corporate Services,91106,90270,90489
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Administration,Office of the MEC,10245,10957,11720
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Cultural Affairs,,109397,106696,112569
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Cultural Affairs,Arts and Culture ,74906,80087,84494
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Cultural Affairs,Language Services,2913,3086,3255
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Cultural Affairs,Management ,1879,2028,2140
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Cultural Affairs,Museum and Heritage ,29699,21495,22680
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Sports and Recreation,,71310,114088,126142
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Sports and Recreation,Management ,3092,3656,3907
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Sports and Recreation,Recreation,29725,29059,36192
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Sports and Recreation,School Sports,19097,33657,35704
MPUMALANGA,"CULTURE, SPORT AND RECREATION",Sports and Recreation,Sport,19396,47716,50339
MPUMALANGA,"CULTURE, SPORT AND RECREATION",LIBRARY AND ARCHIVES SERVICES,,186403,223159,234057
MPUMALANGA,"CULTURE, SPORT AND RECREATION",LIBRARY AND ARCHIVES SERVICES,Arhives,3658,9818,10359
MPUMALANGA,"CULTURE, SPORT AND RECREATION",LIBRARY AND ARCHIVES SERVICES,Management ,0,2150,2269
MPUMALANGA,"CULTURE, SPORT AND RECREATION",LIBRARY AND ARCHIVES SERVICES,Library services,182745,211191,221429
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,,,1198058,1257471,1326632
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Administration,,99406,105038,112478
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Administration,Corporate Services,37085,38415,40655
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Administration,Financial Management,41557,45940,49514
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Administration,Office of MEC,9283,9787,10545
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Administration,Senior Management (HOD),11481,10896,11764
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Economic Planning,,20016,18624,20713
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Economic Planning,CD: Office Support,1748,1898,2058
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Economic Planning,Economic Analysis,5099,5546,6027
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Economic Planning,Economic Policy and Planning,4369,3331,3610
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Economic Planning,Knowledge Management,4514,3636,4450
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Economic Planning,Monitoring and Evaluation,2778,3017,3274
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Economic Planning,Research and Development,1508,1196,1294
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Integrated Economic Development ,,558986,602513,632637
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Integrated Economic Development ,CD:Office Support,1646,1792,1949
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Integrated Economic Development ,Economic Empowerment,7284,6085,5677
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Integrated Economic Development ,Enterprise Development,510121,553681,581327
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Integrated Economic Development ,Local Economic Development,6625,7235,7870
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Integrated Economic Development ,Regional Directors,33310,33720,35814
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Tourism ,,379395,392841,414582
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Tourism ,Tourism,379395,392841,414582
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Business Regulation And Governance,,115210,114456,121381
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Business Regulation And Governance,CD: Office Support,1603,1776,1926
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Business Regulation And Governance,Consumer Protection,12768,13896,15078
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Business Regulation And Governance,Regulation Services,100839,98784,104377
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Trade and Sector Development,,25045,23999,24841
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Trade and Sector Development,CD:Office Support,1808,2324,2095
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Trade and Sector Development,Sector Development,15017,13238,14719
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Trade and Sector Development,Strategic Initiatives,3554,3583,2809
MPUMALANGA,ECONOMIC DEVELOPMENT AND TOURISM,Trade and Sector Development,Trade and Investment Promotion,4666,4854,5218
MPUMALANGA,EDUCATION,,,20973433,21783833,23241706
MPUMALANGA,EDUCATION,Administration,,1515355,1573526,1669367
MPUMALANGA,EDUCATION,Administration,(EMIS) Education Management Information System,74745,53709,56723
MPUMALANGA,EDUCATION,Administration,Corporate Services,610100,655634,693000
MPUMALANGA,EDUCATION,Administration,Education Management,811138,842846,897071
MPUMALANGA,EDUCATION,Administration,Human Resource Development,11446,12087,12752
MPUMALANGA,EDUCATION,Administration,Office of the MEC,7926,9250,9821
MPUMALANGA,EDUCATION,Independent Schools Subsidies,,22176,23418,24706
MPUMALANGA,EDUCATION,Independent Schools Subsidies,Primary Level,14193,14988,15812
MPUMALANGA,EDUCATION,Independent Schools Subsidies,Secondary Level,7983,8430,8894
MPUMALANGA,EDUCATION,Public Ordinary Schools Education,,16823386,18015822,19145979
MPUMALANGA,EDUCATION,Public Ordinary Schools Education,Conditional Grants,689242,723942,774941
MPUMALANGA,EDUCATION,Public Ordinary Schools Education,Human Resource Development,74022,114771,121083
MPUMALANGA,EDUCATION,Public Ordinary Schools Education,Public Primary Level,10091288,10842809,11539108
MPUMALANGA,EDUCATION,Public Ordinary Schools Education,Public Secondary  Level,5949834,6314236,6689679
MPUMALANGA,EDUCATION,Public Ordinary Schools Education,"School Sport, Culture & Media Services",19000,20064,21168
MPUMALANGA,EDUCATION,Public Special Schools Education,,385985,407565,438312
MPUMALANGA,EDUCATION,Public Special Schools Education,Conditional Grants,20709,24879,27884
MPUMALANGA,EDUCATION,Public Special Schools Education,Human Resource Development,2692,2843,2999
MPUMALANGA,EDUCATION,Public Special Schools Education,SCHOOLS,362584,379843,407429
MPUMALANGA,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,,328596,374563,398271
MPUMALANGA,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,Conditional Grants,6359,0,0
MPUMALANGA,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,Grade R in Public Schools,308375,361242,384217
MPUMALANGA,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,Human Resource Development,2914,3078,3248
MPUMALANGA,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,Grade R in Early Childhood Development Centres,10948,10243,10806
MPUMALANGA,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,PRE-GRADE R TRAINING,0,0,0
MPUMALANGA,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,,640142,635802,662195
MPUMALANGA,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,Conditional Grants,20819,21919,22994
MPUMALANGA,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,Payment to SETA,50283,0,0
MPUMALANGA,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,EXTERNAL EXAMINATIONS,209040,233723,238132
MPUMALANGA,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,PROFESSIONAL SERVICES,0,0,0
MPUMALANGA,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,SPECIAL PROJECTS,360000,380160,401069
MPUMALANGA,EDUCATION,INFRASTRUCTURE DEVELOPMENT,,1257793,753137,902876
MPUMALANGA,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Administration,0,0,0
MPUMALANGA,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Early Childhood Development,2352,1568,0
MPUMALANGA,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Public Ordinary Schools,1248894,721569,572876
MPUMALANGA,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Special School,6547,30000,330000
MPUMALANGA,HEALTH,,,13278174,13991027,14857212
MPUMALANGA,HEALTH,Administration,,265526,279429,281388
MPUMALANGA,HEALTH,Administration,Office of the MEC,8628,7913,8423
MPUMALANGA,HEALTH,Administration,MANAGEMENT,256898,271516,272965
MPUMALANGA,HEALTH,Central Hospital Services,,1218481,1314584,1393989
MPUMALANGA,HEALTH,Central Hospital Services,Provincial Tertiary Hospital Services,1218481,1314584,1393989
MPUMALANGA,HEALTH,District Health Services,,8048071,8644913,9218854
MPUMALANGA,HEALTH,District Health Services,Community Health Centres,898241,964940,1028749
MPUMALANGA,HEALTH,District Health Services,Community-based Services,18526,5712,6140
MPUMALANGA,HEALTH,District Health Services,District Hospitals,3377313,3636975,3845994
MPUMALANGA,HEALTH,District Health Services,District Management,383965,410347,437674
MPUMALANGA,HEALTH,District Health Services,Nutrition ,18187,14300,14688
MPUMALANGA,HEALTH,District Health Services,COMMUNITY HEALTH CLINICS,1448290,1518857,1573815
MPUMALANGA,HEALTH,District Health Services,HIV/AIDS,1903549,2093782,2311794
MPUMALANGA,HEALTH,Emergency Medical Services,,388002,419614,447449
MPUMALANGA,HEALTH,Emergency Medical Services,EMERGENCY TRANSPORT,380800,412009,439426
MPUMALANGA,HEALTH,Emergency Medical Services,PLANNED PATIENT TRANSPORT,7202,7605,8023
MPUMALANGA,HEALTH,Health Care Support Services,,182640,192620,203634
MPUMALANGA,HEALTH,Health Care Support Services,Engineering ,43139,52205,53471
MPUMALANGA,HEALTH,Health Care Support Services,Forensic Services,86537,90629,97382
MPUMALANGA,HEALTH,Health Care Support Services,LAUNDRIES,33951,29913,31463
MPUMALANGA,HEALTH,Health Care Support Services,Medicine Trading Account,14482,15550,16739
MPUMALANGA,HEALTH,Health Care Support Services,Orthotic and Prosthetic Services,4531,4323,4579
MPUMALANGA,HEALTH,HEALTH FACILITIES MANAGEMENT,,1393275,1228854,1292221
MPUMALANGA,HEALTH,HEALTH FACILITIES MANAGEMENT,Community Health Facilities,1059340,881642,925911
MPUMALANGA,HEALTH,HEALTH FACILITIES MANAGEMENT,District Hospital Services,133150,30420,2000
MPUMALANGA,HEALTH,HEALTH FACILITIES MANAGEMENT,PROVINCIAL HOSPITAL SERVICES,200785,316792,364310
MPUMALANGA,HEALTH,Provincial Hospital Services,,1393406,1500741,1594897
MPUMALANGA,HEALTH,Provincial Hospital Services,General (Regional) Hospitals,1152331,1245104,1325043
MPUMALANGA,HEALTH,Provincial Hospital Services,Psychiatric/ Mental Hospitals,44054,46521,49080
MPUMALANGA,HEALTH,Provincial Hospital Services,Tuberculosis Hospitals,197021,209116,220774
MPUMALANGA,HEALTH,HEALTH SCIENCES AND TRAINING,,388773,410272,424780
MPUMALANGA,HEALTH,HEALTH SCIENCES AND TRAINING,Primary Health Care Training ,6140,5917,6383
MPUMALANGA,HEALTH,HEALTH SCIENCES AND TRAINING,Training Other,138210,148554,159141
MPUMALANGA,HEALTH,HEALTH SCIENCES AND TRAINING,BURSARIES,73957,83973,78389
MPUMALANGA,HEALTH,HEALTH SCIENCES AND TRAINING,EMS TRAINING COLLEGES,4795,5016,5414
MPUMALANGA,HEALTH,HEALTH SCIENCES AND TRAINING,NURSE TRAINING COLLEGES,165671,166812,175453
MPUMALANGA,HUMAN SETTLEMENTS,,,1774080,1667471,1771004
MPUMALANGA,HUMAN SETTLEMENTS,Administration,,149590,150686,160374
MPUMALANGA,HUMAN SETTLEMENTS,Administration,Corporate Services,141910,142347,151510
MPUMALANGA,HUMAN SETTLEMENTS,Administration,Office of the MEC,7680,8339,8864
MPUMALANGA,HUMAN SETTLEMENTS,Housing Asset Management ,,69352,73784,78015
MPUMALANGA,HUMAN SETTLEMENTS,Housing Asset Management ,Administration,69352,73784,78015
MPUMALANGA,HUMAN SETTLEMENTS,Housing Development,,1333832,1381491,1467333
MPUMALANGA,HUMAN SETTLEMENTS,Housing Development,Administration,55405,58659,59921
MPUMALANGA,HUMAN SETTLEMENTS,Housing Development,Financial Intervention,158319,245123,168767
MPUMALANGA,HUMAN SETTLEMENTS,Housing Development,Incremental Intervention,938289,868552,1016755
MPUMALANGA,HUMAN SETTLEMENTS,Housing Development,Rural Intervention,112054,60912,64619
MPUMALANGA,HUMAN SETTLEMENTS,Housing Development,Social and Rental Intervention,69765,148245,157271
MPUMALANGA,HUMAN SETTLEMENTS,"Housing Needs, Research And Planning",,221306,61510,65282
MPUMALANGA,HUMAN SETTLEMENTS,"Housing Needs, Research And Planning",Administration,217103,56143,59577
MPUMALANGA,HUMAN SETTLEMENTS,"Housing Needs, Research And Planning",Policy,763,916,974
MPUMALANGA,HUMAN SETTLEMENTS,"Housing Needs, Research And Planning",PLANNING,2088,3015,3205
MPUMALANGA,HUMAN SETTLEMENTS,"Housing Needs, Research And Planning",RESEARCH,1352,1436,1526
MPUMALANGA,OFFICE OF THE PREMIER,,,281778,296299,312595
MPUMALANGA,OFFICE OF THE PREMIER,Administration,,135872,134928,137907
MPUMALANGA,OFFICE OF THE PREMIER,Administration,Director General Support,73009,64912,63641
MPUMALANGA,OFFICE OF THE PREMIER,Administration,Executive Cuncil Support,6700,7417,7883
MPUMALANGA,OFFICE OF THE PREMIER,Administration,Financial Support,36259,42502,45029
MPUMALANGA,OFFICE OF THE PREMIER,Administration,Premier Support,19904,20097,21354
MPUMALANGA,OFFICE OF THE PREMIER,Policy and Governance,,69492,71951,79801
MPUMALANGA,OFFICE OF THE PREMIER,Policy and Governance,Intergovermental relations,10003,11147,11816
MPUMALANGA,OFFICE OF THE PREMIER,Policy and Governance,Programme Support,2133,2295,2441
MPUMALANGA,OFFICE OF THE PREMIER,Policy and Governance,Provincial and Policy Management,43744,44207,46932
MPUMALANGA,OFFICE OF THE PREMIER,Policy and Governance,Special Programmes,13612,14302,18612
MPUMALANGA,OFFICE OF THE PREMIER,Institutional Development,,76414,89420,94887
MPUMALANGA,OFFICE OF THE PREMIER,Institutional Development,Communication Services,22843,27623,29260
MPUMALANGA,OFFICE OF THE PREMIER,Institutional Development,Information Communication Technolology,8206,7790,8247
MPUMALANGA,OFFICE OF THE PREMIER,Institutional Development,Legal Services,3990,4266,4541
MPUMALANGA,OFFICE OF THE PREMIER,Institutional Development,Programme Support,2277,2438,2594
MPUMALANGA,OFFICE OF THE PREMIER,Institutional Development,Strategic Human Resource,39098,47303,50245
MPUMALANGA,PROVINCIAL LEGISLATURE,,,346647,354883,373722
MPUMALANGA,PROVINCIAL LEGISLATURE,Administration,,163721,170564,186612
MPUMALANGA,PROVINCIAL LEGISLATURE,Administration,Corporate Services,92162,93580,106394
MPUMALANGA,PROVINCIAL LEGISLATURE,Administration,Financial Management ,26600,28521,30089
MPUMALANGA,PROVINCIAL LEGISLATURE,Administration,Office of the Secretary,22972,22765,24364
MPUMALANGA,PROVINCIAL LEGISLATURE,Administration,Office of the Speaker,21987,25698,25765
MPUMALANGA,PROVINCIAL LEGISLATURE,Direct charge against the Provincial Revenue Fund,,26678,27329,28695
MPUMALANGA,PROVINCIAL LEGISLATURE,Direct charge against the Provincial Revenue Fund,Members salaries,26678,27329,28695
MPUMALANGA,PROVINCIAL LEGISLATURE,Parliamentary Business,,156248,156990,158415
MPUMALANGA,PROVINCIAL LEGISLATURE,Parliamentary Business,Corporate Governance,0,0,0
MPUMALANGA,PROVINCIAL LEGISLATURE,Parliamentary Business,Law Making,30409,31598,33986
MPUMALANGA,PROVINCIAL LEGISLATURE,Parliamentary Business,Members Facilities,66703,61980,58004
MPUMALANGA,PROVINCIAL LEGISLATURE,Parliamentary Business,Oversight,45013,49127,51145
MPUMALANGA,PROVINCIAL LEGISLATURE,Parliamentary Business,Public Participation,14123,14285,15280
MPUMALANGA,PROVINCIAL TREASURY,,,322706,326050,343835
MPUMALANGA,PROVINCIAL TREASURY,Administration,,95929,104135,110448
MPUMALANGA,PROVINCIAL TREASURY,Administration,Financial Management,48877,54380,57104
MPUMALANGA,PROVINCIAL TREASURY,Administration,Internal Audit,5671,5866,6310
MPUMALANGA,PROVINCIAL TREASURY,Administration,Management Services,41381,43889,47034
MPUMALANGA,PROVINCIAL TREASURY,Administration,Member of Executive Council,0,0,0
MPUMALANGA,PROVINCIAL TREASURY,Financial Governance,,32925,29450,31663
MPUMALANGA,PROVINCIAL TREASURY,Financial Governance,Accounting Services,6853,6486,6960
MPUMALANGA,PROVINCIAL TREASURY,Financial Governance,Norms and Standards,13791,13949,15026
MPUMALANGA,PROVINCIAL TREASURY,Financial Governance,Programme Support,5578,2338,2512
MPUMALANGA,PROVINCIAL TREASURY,Financial Governance,Provincial Internal Audit,2914,3449,3697
MPUMALANGA,PROVINCIAL TREASURY,Financial Governance,Risk Management,3789,3228,3468
MPUMALANGA,PROVINCIAL TREASURY,Sustainable Resources Management,,58395,52302,56223
MPUMALANGA,PROVINCIAL TREASURY,Sustainable Resources Management,Budget And Expenditure Management,11760,11641,12541
MPUMALANGA,PROVINCIAL TREASURY,Sustainable Resources Management,Infrastructure Co-Ordination,4980,5242,5640
MPUMALANGA,PROVINCIAL TREASURY,Sustainable Resources Management,Municipal Finance,29474,22511,24141
MPUMALANGA,PROVINCIAL TREASURY,Sustainable Resources Management,Programme Support,1666,1995,2144
MPUMALANGA,PROVINCIAL TREASURY,Sustainable Resources Management,Provincial Administration Fiscal Discilpine,10515,10913,11757
MPUMALANGA,PROVINCIAL TREASURY,Asset And Liabilities Management,,135457,140163,145501
MPUMALANGA,PROVINCIAL TREASURY,Asset And Liabilities Management,InformationTechnology,90133,89656,91273
MPUMALANGA,PROVINCIAL TREASURY,Asset And Liabilities Management,Interlinked Financial Systems,13928,16562,17767
MPUMALANGA,PROVINCIAL TREASURY,Asset And Liabilities Management,Physical Assets Management,6411,6591,7067
MPUMALANGA,PROVINCIAL TREASURY,Asset And Liabilities Management,Programme Support,298,527,561
MPUMALANGA,PROVINCIAL TREASURY,Asset And Liabilities Management,Provincial Supply Chain Management,18301,21077,22635
MPUMALANGA,PROVINCIAL TREASURY,Asset And Liabilities Management,Public Sector Liabilities,6386,5750,6198
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",,,4987002,5172741,4694952
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Administration,,251805,269295,284058
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Administration,Corporate Support,236058,252666,266514
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Administration,Management of the Department,6530,6896,7276
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Administration,Office of the MEC,9217,9733,10268
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Community Based Programmes,,74429,67498,71210
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Community Based Programmes,Community Development,41610,32843,34650
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Community Based Programmes,Innovation and Empowerment,14514,15327,16170
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Community Based Programmes,Programme Support,2247,2373,2503
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Community Based Programmes,EPWP Co-Ordination and Monitoring,16058,16955,17887
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Public Works Infrastructure,,875429,1053074,899993
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Public Works Infrastructure,Construction,112987,247513,50126
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Public Works Infrastructure,Maintenance,26628,28118,29665
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Public Works Infrastructure,Programme Support,4745,5010,5285
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Public Works Infrastructure,Property Management,709635,748136,789285
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Public Works Infrastructure,DESIGN,21434,24297,25632
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Operations,,1290712,1376702,1460034
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Operations,Infrastructure Operations,8548,9026,9522
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Operations,Programme Support,2640,2930,3115
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Operations,Public Transport Services,1214354,1294423,1373230
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Operations,Transport Systems,15629,16504,17412
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Operations,Transport Safety and Compliance,49541,53819,56755
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Infrastructure,,2494627,2406172,1979657
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Infrastructure,Construction,1116538,990376,489809
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Infrastructure,Infrastructure Planning,63085,66617,70280
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Infrastructure,Maintenance,1219916,1248767,1313636
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Infrastructure,Programme Support,1885,1990,2098
MPUMALANGA,"PUBLIC WORKS, ROADS AND TRANSPORT",Transport Infrastructure,DESIGN,93203,98422,103834
MPUMALANGA,SOCIAL DEVELOPMENT,,,1551584,1624299,1714467
MPUMALANGA,SOCIAL DEVELOPMENT,Administration,,310527,323733,326098
MPUMALANGA,SOCIAL DEVELOPMENT,Administration,Corporate Management Services,161542,164153,154151
MPUMALANGA,SOCIAL DEVELOPMENT,Administration,District Management,140342,149831,162566
MPUMALANGA,SOCIAL DEVELOPMENT,Administration,Office of the MEC,8643,9749,9381
MPUMALANGA,SOCIAL DEVELOPMENT,Children and Families,,598829,633280,679466
MPUMALANGA,SOCIAL DEVELOPMENT,Children and Families,Care and Services to Families,41369,44096,47505
MPUMALANGA,SOCIAL DEVELOPMENT,Children and Families,Child and Youth Care Centres,54997,62958,82335
